V_NUMBER,AD_CTY_NAME,CASE_ID,CASE_REPCODE,INV_CTY_NAME,INV_CTY_CODE,PRODUCT,INIT_DATE,P_DUMP_DATE,P_INJ_DATE,P_DUMP_DEC,P_INJ_DEC,P_AD_DATE,P_AD_MEASURE,F_DUMP_DATE,F_INJ_DATE,F_DUMP_DEC,F_INJ_DEC,F_AD_DATE,F_AD_MEASURE,REVOKE_DATE,REVOKE_YEAR,WTO_F_AD_MEASURE,WTO_F_MARGIN_MIN,WTO_F_MARGIN_MAX,WTO_CITATION,P_AVG_DUTY,F_AVG_DUTY,PET_DATE,INJ_INIT_DATE,DUMP_INIT_DATE,TERM_DATE,NOTES,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-85,TWN-AD-84,India,IND,Uncoated Stress-Relieved Steel Wires for Pre-Stressed Concrete,11/21/1997,04/30/1998,01/07/1998,A,A,.,.,07/09/1998,10/12/1998,A,A,12/14/1998,SD,12/13/2003,2003,SD,.,.,.,.,6.10-9.95,8/1997,11/21/1997,11/21/1997,.,"1.      AD Duty levied at 6.10%~ 9.95% (India), and 25.39%~ 42.38%(S. Korea) from Dec.14, 1998. Reference subheadings:7217.1030.00 2.      Negligible dumped imports for Spain. Terminated on Dec. 13, 2003, after expiration of the AD measures.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-86,TWN-AD-84,Spain,ESP,Uncoated Stress-Relieved Steel Wires for Pre-Stressed Concrete,11/21/1997,04/30/1998,01/07/1998,A,A,.,.,07/09/1998,10/12/1998,A,N,.,.,.,.,.,.,.,.,.,.,8/1997,11/21/1997,11/21/1997,.,"1.      AD Duty levied at 6.10%~ 9.95% (India), and 25.39%~ 42.38%(S. Korea) from Dec.14, 1998. Reference subheadings:7217.1030.00 2.      Negligible dumped imports for Spain. Terminated on Dec. 13, 2003, after expiration of the AD measures.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-87,TWN-AD-87,Argentina,ARG,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,11/21/1997,04/14/1998,01/07/1998,A,A,.,.,07/09/1998,10/12/1998,A,N,.,.,.,.,.,.,.,.,.,.,8/1997,11/21/1997,11/21/1997,.,Action : 10/20/1998 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-88,TWN-AD-87,Brazil,BRA,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,11/21/1997,04/14/1998,01/07/1998,A,A,.,.,07/09/1998,10/12/1998,A,N,.,.,.,.,.,.,.,.,.,.,8/1997,11/21/1997,11/21/1997,.,Action : 10/20/1998 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-89,TWN-AD-87,India,IND,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,11/21/1997,04/14/1998,01/07/1998,A,A,.,.,07/09/1998,10/12/1998,A,N,.,.,.,.,.,.,.,.,.,.,8/1997,11/21/1997,11/21/1997,.,Action : 10/20/1998 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-90,TWN-AD-90,Italy,ITA,Steel Shot/Steel Grid,04/10/1998,10/12/1998,06/22/1998,A,A,.,.,01/08/1999,03/12/1999,A,N,.,.,.,.,.,.,.,.,.,.,04/10/1998,MI,MI,.,Action : 4/12/1998 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-91,TWN-AD-90,South Africa,ZAF,Steel Shot/Steel Grid,04/10/1998,10/12/1998,06/22/1998,A,A,.,.,01/08/1999,03/12/1999,A,N,.,.,.,.,.,.,.,.,.,.,04/10/1998,MI,MI,.,Action : 4/12/1998 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-92,TWN-AD-90,Spain,ESP,Steel Shot/Steel Grid,04/10/1998,10/12/1998,06/22/1998,A,A,.,.,01/08/1999,03/12/1999,A,N,.,.,.,.,.,.,.,.,.,.,04/10/1998,MI,MI,.,Action : 4/12/1998 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-93,TWN-AD-93,Japan,JPN,H-Beam (Hot Rolled of Iron or Non-Alloy Steel),11/16/1998,05/05/1999,01/04/1999,A,A,.,.,07/03/1999,09/27/1999,A,A,12/10/1999,SD,03/01/2005,2005,SD,.,.,.,.,10.24-24.42,09/04/1998,11/19/1998,11/16/1998,03/2005,"1.      AD Duty levied at 10.24%~ 24.42%, from Dec.10, 1999, Market share by quatity",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-94,TWN-AD-94,Indonesia,IDN,Uncoated Printing and Writing Paper,12/30/1998,07/03/1999,03/01/1999,A,A,.,.,10/01/1999,12/23/1999,OTH,N,.,.,.,.,.,.,.,.,.,.,10/31/1998,01/05/1999,12/30/1998,.,"Action: 1/24/2000 None; one company found to have deminimus margins, excluded from investigation after preliminary stage",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-95,TWN-AD-94,Thailand,THA,Uncoated Printing and Writing Paper,12/30/1998,07/03/1999,03/01/1999,A,A,.,.,10/01/1999,12/23/1999,A,N,.,.,.,.,.,.,.,.,.,.,10/31/1998,01/05/1999,12/30/1998,.,Action: 1/24/2000 None,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-96,TWN-AD-96,Japan,JPN,Art Paper,01/05/1998,07/03/1999,03/12/1999,A,A,.,.,10/01/1999,12/24/1999,A,A,07/20/2000,SD,03/03/2011,2011,SD,.,.,.,.,8.21-44.58,10/31/1998,01/05/1999,12/30/1998,.,"1.      AD Duty levied at 8.21%~ 44.58%, from July 20, 2000. Reference subheadings:4810.11.00.00-9, 4810.12.00.00-8 (currently 4810.13.20, 4810.19.10, 4810.19.90) 2.  De minimis of dumping margin for Indonesian producers. 3. Case Reviewed on change of circumstances on July 11, 2002. 4. Continue imposing AD duty_May 6, 2003 public notice). 5. Sunset Review has been proceeding since Jan. 19, 2005 ",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-97,TWN-AD-96,Indonesia,IDN,Art Paper,01/05/1998,07/03/1999,03/12/1999,A,A,.,.,10/01/1999,12/24/1999,N,.,.,.,.,.,.,.,.,.,.,.,10/31/1998,01/05/1999,12/30/1998,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-98,TWN-AD-98,Brazil,BRA,Hot-Rolled Steel Plate,04/20/1999,09/17/1999,06/02/1999,A,A,.,.,12/15/1999,03/13/2000,A,N,.,.,.,.,.,.,.,.,.,.,01/25/1999,04/22/1999,04/20/1999,.,Action: 3/30/2000 None Market share by quantity,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-99,TWN-AD-98,Russia,RUS,Hot-Rolled Steel Plate,04/20/1999,09/17/1999,06/02/1999,A,A,.,.,12/15/1999,03/13/2000,A,N,.,.,.,.,.,.,.,.,.,.,01/25/1999,04/22/1999,04/20/1999,.,Action: 3/30/2000 None Market share by quantity,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-100,TWN-AD-98,Ukraine,UKR,Hot-Rolled Steel Plate,04/20/1999,09/17/1999,06/02/1999,A,A,.,.,12/15/1999,03/13/2000,A,N,.,.,.,.,.,.,.,.,.,.,01/25/1999,04/22/1999,04/20/1999,.,Action: 3/30/2000 None Market share by quantity,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-101,TWN-AD-101,USA,USA,Dynamic Random Access Memory,04/16/1999,09/17/1999,06/02/1999,A,A,MI,AVD,01/05/2000,03/13/2000,A,N,.,.,.,.,.,.,.,.,MI,.,03/12/1999,04/20/1999,04/16/1999,.,"Action: 3/31/2000 None, market share 65% by quantity, 61% by value",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-102,TWN-AD-102,Japan,JPN,Acrylonitrile or Acrylonitrile Monomer,08/11/1999,.,10/18/1999,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,06/01/1999,08/13/1999,08/11/1999,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-103,TWN-AD-102,South Korea,KOR,Acrylonitrile or Acrylonitrile Monomer,08/11/1999,.,10/18/1999,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,06/01/1999,08/13/1999,08/11/1999,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-104,TWN-AD-102,USA,USA,Acrylonitrile or Acrylonitrile Monomer,08/11/1999,.,10/18/1999,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,06/01/1999,08/13/1999,08/11/1999,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-105,TWN-AD-105,Malaysia,MYS,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,12/13/2000,05/25/2001,02/20/2001,A,A,.,.,08/21/2001,11/05/2001,A,N,.,.,.,.,.,.,.,.,.,.,10/11/2000,12/15/2000,12/13/2000,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-106,TWN-AD-105,South Korea,KOR,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,12/13/2000,05/25/2001,02/20/2001,A,A,.,.,08/21/2001,11/05/2001,A,N,.,.,.,.,.,.,.,.,.,.,10/11/2000,12/15/2000,12/13/2000,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-107,TWN-AD-105,Thailand,THA,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,12/13/2000,05/25/2001,02/20/2001,A,A,.,.,08/21/2001,11/05/2001,A,N,.,.,.,.,.,.,.,.,.,.,10/11/2000,12/15/2000,12/13/2000,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-108,TWN-AD-108,Japan,JPN,Portland Cement and Clinker,12/29/2000,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/29/2000,MI,MI,03/20/2001,Withdrawn by the applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-109,TWN-AD-108,South Korea,KOR,Portland Cement and Clinker,12/29/2000,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/29/2000,MI,MI,03/20/2001,Withdrawn by the applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-110,TWN-AD-108,Philippines,PHL,Portland Cement and Clinker,12/29/2000,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/29/2000,MI,MI,03/20/2001,Withdrawn by the applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-111,TWN-AD-111,Philippines,PHL,Portland Cement and Clinker,07/19/2001,01/15/2002,09/26/2001,A,A,.,.,04/15/2002,06/21/2002,A,A,07/19/2002,SD,05/01/2008,2008,MI,42.00,104.48,G/ADP/N/98/TPKM,.,42.00-104.48,06/04/2001,07/25/2001,07/19/2001,05/2008,"Anti-dumping duty levied at 110.99%~126.81% (Korea), 42.00%~104.48% (Philippines), from July 19, 2002. Reference subheadings: 2523.29.90, 2523.10.90",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-112,TWN-AD-111,South Korea,KOR,Portland Cement and Clinker,07/19/2001,01/15/2002,09/26/2001,A,A,.,.,04/15/2002,06/21/2002,A,A,07/19/2002,SD,05/01/2008,2008,MI,110.97,126.81,G/ADP/N/98/TPKM,.,110.99-126.81,06/04/2001,07/25/2001,07/19/2001,05/2008,"Anti-dumping duty levied at 110.99%~126.81% (Korea), 42.00%~104.48% (Philippines), from July 19, 2002. Reference subheadings: 2523.29.90, 2523.10.90",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-113,TWN-AD-113,Indonesia,IDN,Uncoated Stress-Relieved Steel Strands for Pre-Stressed Concrete,10/04/2001,.,12/09/2001,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,07/25/2001,10/04/2001,09/27/2001,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-114,TWN-AD-114,Canada,CAN,Newsprints in Rolls or Sheets,03/26/2002,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,03/26/2002,MI,MI,05/07/2002,Withdrawn by the Applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-115,TWN-AD-114,Indonesia,IDN,Newsprints in Rolls or Sheets,03/26/2002,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,03/26/2002,MI,MI,05/07/2002,Withdrawn by the Applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-116,TWN-AD-114,Japan,JPN,Newsprints in Rolls or Sheets,03/26/2002,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,03/26/2002,MI,MI,05/07/2002,Withdrawn by the Applicant.,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-117,TWN-AD-117,Canada,CAN,Newsprints in Rolls or Sheets,12/24/2002,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/24/2002,MI,MI,03/17/2003,"Rejected on March 17, 2003, due to noncompliance with application requirements.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-118,TWN-AD-117,Indonesia,IDN,Newsprints in Rolls or Sheets,12/24/2002,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/24/2002,MI,MI,03/17/2003,"Rejected on March 17, 2003, due to noncompliance with application requirements.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-119,TWN-AD-117,Japan,JPN,Newsprints in Rolls or Sheets,12/24/2002,.,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12/24/2002,MI,MI,03/17/2003,"Rejected on March 17, 2003, due to noncompliance with application requirements.",,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-120,TWN-AD-120,Germany,DEU,Black Hot Rolled Stainless Steel Sheet,01/13/2003,.,03/17/2003,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/11/2002,01/16/2003,01/13/2003,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-121,TWN-AD-120,Italy,ITA,Black Hot Rolled Stainless Steel Sheet,01/13/2003,.,03/17/2003,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10/11/2002,01/16/2003,01/13/2003,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-122,TWN-AD-122,China,CHN,Certain Towelling Products ,03/03/2006,03/20/2006,05/29/2006,A,A,06/01/2006,PU/AVD,07/24/2006,09/04/2006,A,A,09/19/2006,PU/AVD,IF,IF,MI,88.50,204.10,G/ADP/N/153/TPKM,204.00,MI,MI,MI,MI,MI,source of F_AD_DATE is the country's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-123,TWN-AD-123,China,CHN,Certain Footwear,10/13/2006,11/29/2006,03/13/2007,A,A,03/16/2007,AVD,05/22/2007,06/28/2007,A,A,07/12/2007,MI,IF,IF,MI,0.00,43.46,G/ADP/N/158/TPKM,0-43.46,0-43.46,MI,MI,MI,MI,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-124,TWN-AD-124,Japan,JPN,Uncoated Printing and Writing Paper,10/14/2006,12/18/2006,03/13/2007,A,A,.,.,06/08/2007,08/09/2007,A,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-125,TWN-AD-124,China,CHN,Uncoated Printing and Writing Paper,10/14/2006,12/18/2006,03/13/2007,A,A,.,.,06/08/2007,08/09/2007,A,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-126,TWN-AD-126,Indonesia,IDN,Uncoated Printing and Writing Paper,10/14/2006,12/18/2006,03/13/2007,A,A,.,.,06/08/2007,08/09/2007,A,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-127,TWN-AD-127,China,CHN,Benzoyl Peroxide,12/14/2009,02/01/2010,02/01/2010,A,A,05/20/2010,AVD,10/01/2010,10/01/2010,A,A,10/01/2010,AVD,IF,IF,AVD,4.73,59.70,G/ADP/N/209/TPKM,13.61-57.28,4.73-59.70,MI,12/14/2009,12/18/2009,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-128,TWN-AD-128,China,CHN,Sodium Formaldehyde Sulfoxylate (SFS),02/09/2010,04/07/2010,04/07/2010,A,A,07/16/2010,AVD,09/24/2010,09/24/2010,A,A,12/06/2010,AVD,IF,IF,AVD,14.72,28.93,G/ADP/N/209/TPKM,15.15-28.91,14.72-28.93,MI,02/08/2010,02/10/2010,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-129,TWN-AD-129,China,CHN,Portland Cement (Types I and II) and its Clinker,12/06/2010,05/23/2011,02/01/2011,A,A,05/30/2011,MI,07/28/2011,09/26/2011,A,A,09/26/2011,AVD,IF,IF,AVD,91.58,91.58,G/ADP/N/223/TPKM,91.58,91.58,MI,12/06/2010,MI,.,,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-130,TWN-AD-130,China,CHN,Coated Paper,02/03/2012,12/11/2012,12/11/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-131,TWN-AD-130,Finland,FIN,Coated Paper,02/03/2012,12/11/2012,12/11/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-132,TWN-AD-130,Japan,JPN,Coated Paper,02/03/2012,12/11/2012,12/11/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-133,TWN-AD-130,South Korea,KOR,Coated Paper,02/03/2012,12/11/2012,12/11/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-134,TWN-AD-134,China,CHN,Carbon Steel Cold Rolled Steel Flat Products ,03/26/2012,07/03/2012,07/03/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-135,TWN-AD-134,South Korea,KOR,Carbon Steel Cold Rolled Steel Flat Products ,03/26/2012,07/03/2012,07/03/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-136,TWN-AD-136,India,IND,Hot Rolled Steel Plate,03/26/2012,07/03/2012,07/03/2012,MI,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-137,TWN-AD-136,South Korea,KOR,Hot Rolled Steel Plate,03/26/2012,07/03/2012,07/03/2012,MI,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
Q2_2012,Taiwan,TWN-AD-138,TWN-AD-138,Japan,JPN,Low Grade Non Grain-oriented Electrical Steel,03/26/2012,07/03/2012,07/03/2012,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,MI,MI,MI,MI,Source: Taiwan's semi-annual report to the WTO,,,,,,,,,,
